"","name..1...2.","max.sylen..rm.na...TRUE.","min.sylen..rm.na...TRUE.","mean.sylen..rm.na...TRUE.","sd.sylen.","rate","mean.anasyl.dom..rm.na...TRUE.","max.anasyl.dom..rm.na...TRUE.","min.anasyl.dom..rm.na...TRUE.","sd.anasyl.dom.","mean.anasyl.harmonics..rm.na...TRUE.","max.anasyl.harmonics..rm.na...TRUE.","min.anasyl.harmonics..rm.na...TRUE.","sd.anasyl.harmonics.","mean.anasyl.HNR..rm.na...TRUE.","max.anasyl.HNR..rm.na...TRUE.","min.anasyl.HNR..rm.na...TRUE.","sd.anasyl.HNR.","mean.anasyl.f1_freq..rm.na...TRUE.","max.anasyl.f1_freq..rm.na...TRUE.","min.anasyl.f1_freq..rm.na...TRUE.","sd.anasyl.f1_freq.","mean.anasyl.f2_freq..rm.na...TRUE.","max.anasyl.f2_freq..rm.na...TRUE.","min.anasyl.f2_freq..rm.na...TRUE.","sd.anasyl.f2_freq.","mean.anasyl.f3_freq..rm.na...TRUE.","max.anasyl.f3_freq..rm.na...TRUE.","min.anasyl.f3_freq..rm.na...TRUE.","sd.anasyl.f3_freq.","mean.anasyl.entropy..rm.na...TRUE.","max.anasyl.entropy..rm.na...TRUE.","min.anasyl.entropy..rm.na...TRUE.","sd.anasyl.entropy.","mean.anasyl.specSlope..rm.na...TRUE.","max.anasyl.specSlope..rm.na...TRUE.","min.anasyl.specSlope..rm.na...TRUE.","sd.anasyl.specSlope."
"1","_Coq_bankiva_",1824,1,690.666666666667,982.155452733086,0.00925925925925928,752.897960944465,1305.54211843203,1,150.573256934561,10.4019887979568,20.7351816999124,1,4.80713120266432,13.8840878300535,26.4229454139429,-3.68592303055304,8.81528832657282,961.052528735632,1341.41,1,227.72501164434,1735.77310344828,3038.35,1,316.598292850112,2550.03747126437,11967.07,1,1176.10997151846,0.141916682738135,1,0.0370238229850824,0.0881187468429237,-0.00153183200331441,1,-0.00300191371841994,0.000547702721943169
"2","Cygne tubercule",424,1,397.333333333333,28.0950766742739,0.00029585798816568,1494.35346063882,1646.49148563177,1,117.653082478753,-2.57722217099868,9.45159411723383,-8.48972729071996,5.63491427950802,11.0652638743807,13.2830338428482,1,1.9388917921055,1401.388,1571.73,1,105.487760982698,1605.00866666667,1671.83,1,49.6355670097658,3032.994,3296.44,1,428.066704745217,0.135844330047832,1,0.102166702475985,0.0231973496533247,-0.00155262586783362,1,-0.00210986836826022,0.000346176192369042
"3"," Oie rieuse ",440.000000000015,1,137.882352941177,88.0657565833962,0.00288175508180466,1081.84660038669,2365.98415346122,1,197.997951960633,10.2705076546248,29.5887595243887,-8.91750056975578,9.36682181155872,12.6700092344107,27.1469740649314,-3.99027986282759,8.57329446410252,1139.01801136364,1516.96,1,148.086087178108,1991.99909090909,2593.54,1,405.15353891649,2975.99395454545,4967.01,1,647.805440302034,0.257214511365243,1,0.0776408652507878,0.112424893762151,-0.000516914283436887,1,-0.00209891213237488,0.000249689176901993
"4"," Vautour moine ",863.999999999998,1,206.857142857143,275.397016112223,0.00160414610069102,2189.48200881687,3266.35946622185,1,466.135983417794,13.0217728641619,20.0148551621882,1,3.80225868169435,9.4543231143063,20.7039682947765,1,4.24105130442385,2191.39642857143,2949.47,1,444.243500547359,2792.61071428571,3254.17,1,309.942121481868,3731.75357142857,5899.9,1,923.262062918609,0.35445962804372,1,0.235835929946729,0.0819723740457538,-0.000147813096289156,1,-0.000579654664998235,0.000260314511169007
"5"," Gypaète barbu ",1280,1,315.636363636364,434.811056144453,0.00153186274509804,2996.24687239366,3286.36780650542,1,182.127716147529,4.61653682817845,12.6646790639361,-6.57131690878361,9.16716048745436,16.5864022363897,24.7134246058715,1,6.69251565068326,2535.31,3258.32,1,876.081640553143,3040.065,3581.94,1,348.304292783521,4376.215,6427.14,1,1468.87734745184,0.274011386868604,1,0.247317127467856,0.0257348995513037,-0.000514521116372432,1,-0.000743084525341697,0.000180752821282744
"6"," Red tailed Ant Thrush ",1032,1,470.933333333334,406.550553290673,0.000820440693858416,2768.44978971838,3386.40950792327,1,422.051872815065,-4.06564191769675,19.1766085373719,-9.546364740742,5.02887766542138,21.2223014376551,30.2199873164629,-3.77095348865432,5.55224960536783,1279.91212765957,3280.35,1,230.527501666316,2321.04425531915,6161.27,1,543.874944926283,3190.95157446809,7763.27,1,824.557976427519,0.234014146302408,1,0.0991256965760491,0.092520144068485,-0.000258204799780553,1,-0.000573353112855913,0.000153578476067407
"7"," Ibis falcinelle ",392,1,280,92.1448135635787,0.00197889182058048,539.984908058302,565.23352793995,1,38.1759771790256,15.4986343897538,18.1542947503437,1,2.17219878166729,6.39869276512916,14.7623309238915,-2.75982675333756,6.79653898815371,1067.43,1885.32,1,243.247359985674,1947.32047619048,2726.13,1,369.258608924371,3264.27857142857,9191.71,1,1620.1339196353,0.233134263617912,1,0.165701407616615,0.0536434801405047,-0.0018670097695735,1,-0.00362003538629642,0.00052484265171462
"8"," Cockatiel ",272,1,251.428571428571,16.5062758627482,0.0005495713343592,2571.88502596604,3328.01702502757,1,556.601041300933,2.17157082299625,21.1047963895576,-12.8805141317066,9.85672033266825,14.0139580660707,45.070629384798,-1.01262775782521,8.96707918268307,2358.08845070423,3243.22,1,451.212454826452,2719.44469483568,3331.34,1,408.324797101345,3541.7276056338,9666.96,1,724.136687124089,0.168551204245858,1,0.0377252245822489,0.107799404372023,-0.000125881520340984,1,-0.000714590815925633,0.000239754763497263
"9"," Grue moine ",856,1,427.333333333333,234.676218514429,0.000765441959531416,1138.75301728513,1405.58381984987,1,138.776235575735,9.01485335903044,28.5419825961901,-6.28060284813491,9.78913207081808,11.4399960539159,28.8866929834686,-0.205981494552271,7.29000073658648,1148.48899470899,1452.21,1,120.053303409211,1790.57185185185,3318.81,1,527.51302635406,2910.85624338624,10453.5,1,686.205063951547,0.312999947522627,1,0.079495789161585,0.118252558399007,-0.000573352944789175,1,-0.00278517102940181,0.00045298797621498
"10"," Cigogne blanche ",840,1,311,277.834483101,0.00243055555555556,2166.5843932823,2646.65206508135,1,405.507266183029,-1.63378653958019,34.114851247996,-15.4956336448682,13.2475953792982,22.336671002784,31.9082325659437,1,8.23244289908427,1483.29058139535,2305.74,1,266.998462671735,2157.88255813953,2629.18,1,369.95524286431,2611.78825581395,3727.75,1,410.24966273834,0.0854236010028119,1,0.0335106470832966,0.0366614005578615,-0.000349186072135913,1,-0.00096363973814476,0.000193204577836246
